id,geographic-area-name,median-income
0500000US26017,"Bay County, Michigan",49610
0500000US26021,"Berrien County, Michigan",50153
0500000US26025,"Calhoun County, Michigan",49055
0500000US26037,"Clinton County, Michigan",69651
0500000US26045,"Eaton County, Michigan",65409
0500000US26049,"Genesee County, Michigan",50389
0500000US26055,"Grand Traverse County, Michigan",65266
0500000US26065,"Ingham County, Michigan",54395
0500000US26073,"Isabella County, Michigan",45201
0500000US26075,"Jackson County, Michigan",55124
0500000US26077,"Kalamazoo County, Michigan",56441
0500000US26081,"Kent County, Michigan",66532
0500000US26087,"Lapeer County, Michigan",66263
0500000US26091,"Lenawee County, Michigan",53865
0500000US26093,"Livingston County, Michigan",86512
0500000US26099,"Macomb County, Michigan",64947
0500000US26103,"Marquette County, Michigan",55148
0500000US26111,"Midland County, Michigan",69872
0500000US26115,"Monroe County, Michigan",62839
0500000US26121,"Muskegon County, Michigan",50366
0500000US26125,"Oakland County, Michigan",81190
0500000US26139,"Ottawa County, Michigan",68817
0500000US26145,"Saginaw County, Michigan",48303
0500000US26147,"St. Clair County, Michigan",59837
0500000US26155,"Shiawassee County, Michigan",55249
0500000US26159,"Van Buren County, Michigan",60549
0500000US26161,"Washtenaw County, Michigan",76576
0500000US26163,"Wayne County, Michigan",50753
0500000US27003,"Anoka County, Minnesota",83353
0500000US27013,"Blue Earth County, Minnesota",61133
0500000US27019,"Carver County, Minnesota",101434
0500000US27035,"Crow Wing County, Minnesota",60534
0500000US27037,"Dakota County, Minnesota",88864
0500000US27053,"Hennepin County, Minnesota",82369
0500000US27109,"Olmsted County, Minnesota",80096
0500000US27123,"Ramsey County, Minnesota",68871
0500000US27131,"Rice County, Minnesota",72469
0500000US27137,"St. Louis County, Minnesota",60434
0500000US27139,"Scott County, Minnesota",108761
0500000US27141,"Sherburne County, Minnesota",96210
0500000US27145,"Stearns County, Minnesota",66558
0500000US27163,"Washington County, Minnesota",100596
0500000US27171,"Wright County, Minnesota",91707
0500000US28033,"DeSoto County, Mississippi",66078
0500000US28035,"Forrest County, Mississippi",39063
0500000US28047,"Harrison County, Mississippi",50119
0500000US28049,"Hinds County, Mississippi",44964
0500000US28059,"Jackson County, Mississippi",52476
0500000US28067,"Jones County, Mississippi",37594
0500000US28075,"Lauderdale County, Mississippi",37497
0500000US28081,"Lee County, Mississippi",49715
0500000US28089,"Madison County, Mississippi",68171
0500000US28121,"Rankin County, Mississippi",67012
0500000US29019,"Boone County, Missouri",57013
0500000US29021,"Buchanan County, Missouri",46922
