state,county,UninsuredPerc,fair-or-poor-health-perc
Georgia,Dougherty,14.4,25
Georgia,Douglas,14.2,18
Georgia,Early,14.7,25
Georgia,Echols,27.6,22
Georgia,Effingham,13.6,14
Georgia,Elbert,17.6,20
Georgia,Emanuel,16.0,24
Georgia,Evans,17.1,22
Georgia,Fannin,18.3,17
Georgia,Fayette,10.5,13
Georgia,Floyd,17.9,19
Georgia,Forsyth,11.7,13
Georgia,Franklin,18.8,19
Georgia,Fulton,13.0,15
Georgia,Gilmer,22.5,17
Georgia,Glascock,14.9,17
Georgia,Glynn,17.4,18
Georgia,Gordon,21.4,19
Georgia,Grady,20.8,21
Georgia,Greene,20.1,21
Georgia,Gwinnett,18.4,16
Georgia,Habersham,19.3,18
Georgia,Hall,21.7,18
Georgia,Hancock,15.9,27
Georgia,Haralson,15.2,16
Georgia,Harris,10.7,13
Georgia,Hart,18.1,19
Georgia,Heard,15.2,18
Georgia,Henry,12.8,17
Georgia,Houston,13.6,19
Georgia,Irwin,14.5,22
Georgia,Jackson,15.7,15
Georgia,Jasper,17.5,20
Georgia,Jeff Davis,18.8,21
Georgia,Jefferson,16.3,24
Georgia,Jenkins,15.7,26
Georgia,Johnson,16.2,20
Georgia,Jones,12.9,17
Georgia,Lamar,14.8,19
Georgia,Lanier,16.4,21
Georgia,Laurens,15.0,24
Georgia,Lee,12.8,15
Georgia,Liberty,12.1,22
Georgia,Lincoln,16.5,19
Georgia,Long,16.4,20
Georgia,Lowndes,17.3,21
Georgia,Lumpkin,19.9,17
Georgia,McDuffie,15.1,21
Georgia,McIntosh,16.4,19
Georgia,Macon,19.2,26
Georgia,Madison,18.3,18
Georgia,Marion,17.1,21
Georgia,Meriwether,16.2,22
Georgia,Miller,16.5,20
Georgia,Mitchell,17.6,23
Georgia,Monroe,13.8,15
Georgia,Montgomery,16.9,18
Georgia,Morgan,15.9,15
Georgia,Murray,20.5,19
Georgia,Muscogee,13.5,21
Georgia,Newton,14.8,18
Georgia,Oconee,11.8,13
Georgia,Oglethorpe,18.9,17
Georgia,Paulding,12.8,15
Georgia,Peach,17.3,20
Georgia,Pickens,17.5,13
Georgia,Pierce,16.0,18
Georgia,Pike,14.4,14
Georgia,Polk,19.1,20
Georgia,Pulaski,15.7,21
Georgia,Putnam,18.7,19
Georgia,Quitman,17.2,23
Georgia,Rabun,21.3,18
Georgia,Randolph,15.9,28
Georgia,Richmond,14.2,21
Georgia,Rockdale,15.5,21
Georgia,Schley,15.1,20
Georgia,Screven,16.2,22
Georgia,Seminole,16.3,21
Georgia,Spalding,15.7,21
Georgia,Stephens,15.8,18
Georgia,Stewart,17.9,33
Georgia,Sumter,17.2,25
Georgia,Talbot,15.2,21
Georgia,Taliaferro,19.8,26
Georgia,Tattnall,19.0,22
Georgia,Taylor,15.9,24
Georgia,Telfair,16.3,25
Georgia,Terrell,18.2,26
Georgia,Thomas,16.1,20
Georgia,Tift,17.8,22
Georgia,Toombs,18.6,23
Georgia,Towns,17.3,15
Georgia,Treutlen,16.1,20
Georgia,Troup,14.7,19
Georgia,Turner,18.4,22
Georgia,Twiggs,17.2,23
Georgia,Union,18.7,14
Georgia,Upson,13.8,20
Georgia,Walker,15.2,18
Georgia,Walton,13.5,17
Georgia,Ware,15.6,22
Georgia,Warren,15.6,24
Georgia,Washington,15.2,23
Georgia,Wayne,14.5,20
Georgia,Webster,16.3,20
Georgia,Wheeler,15.7,25
Georgia,White,17.2,15
Georgia,Whitfield,23.0,23
Georgia,Wilcox,17.3,22
Georgia,Wilkes,17.8,24
Georgia,Wilkinson,13.4,21
Georgia,Worth,17.1,20
Hawaii,Hawaii,6.4,14
Hawaii,Honolulu,4.1,13
Hawaii,Kauai,4.8,12
Hawaii,Maui,5.4,13
Idaho,Ada,8.7,11
Idaho,Adams,14.4,15
Idaho,Bannock,10.7,15
Idaho,Bear Lake,10.2,14
Idaho,Benewah,14.2,16
Idaho,Bingham,14.8,16
Idaho,Blaine,17.7,14
Idaho,Boise,13.3,13
Idaho,Bonner,13.3,13
Idaho,Bonneville,9.5,15
Idaho,Boundary,18.2,15
Idaho,Butte,12.3,14
Idaho,Camas,17.5,17
Idaho,Canyon,14.6,17
Idaho,Caribou,9.1,13
Idaho,Cassia,15.5,16
Idaho,Clark,26.2,25
Idaho,Clearwater,12.5,14
Idaho,Custer,13.8,15
Idaho,Elmore,13.5,16
Idaho,Franklin,11.8,13
Idaho,Fremont,14.0,16
Idaho,Gem,14.2,16
Idaho,Gooding,19.7,17
Idaho,Idaho,15.9,17
Idaho,Jefferson,12.5,13
Idaho,Jerome,20.5,17
Idaho,Kootenai,10.1,14
Idaho,Latah,9.3,14
Idaho,Lemhi,12.4,15
Idaho,Lewis,14.4,17
Idaho,Lincoln,17.6,18
Idaho,Madison,8.6,17
Idaho,Minidoka,17.5,19
Idaho,Nez Perce,10.6,14
Idaho,Oneida,11.9,13
Idaho,Owyhee,23.2,20
Idaho,Payette,14.1,17
Idaho,Power,16.9,19
Idaho,Shoshone,13.6,15
Idaho,Teton,16.5,13
Idaho,Twin Falls,14.0,15
Idaho,Valley,11.8,12
Idaho,Washington,16.4,18
Illinois,Adams,5.2,15
Illinois,Alexander,6.4,24
Illinois,Bond,6.6,16
Illinois,Boone,7.5,16
Illinois,Brown,3.6,16
Illinois,Bureau,6.1,15
Illinois,Calhoun,6.0,14
Illinois,Carroll,7.0,14
Illinois,Cass,8.5,17
Illinois,Champaign,6.1,16
Illinois,Christian,6.0,14
Illinois,Clark,5.9,15
Illinois,Clay,6.2,15
Illinois,Clinton,4.8,13
Illinois,Coles,6.9,18
Illinois,Cook,10.0,17
Illinois,Crawford,5.9,14
Illinois,Cumberland,6.5,14
Illinois,DeKalb,6.3,16
Illinois,De Witt,5.2,14
Illinois,Douglas,9.3,15
Illinois,DuPage,6.4,13
Illinois,Edgar,6.0,15
Illinois,Edwards,5.8,14
Illinois,Effingham,5.6,14
Illinois,Fayette,7.2,17
Illinois,Ford,6.2,15
Illinois,Franklin,6.8,17
Illinois,Fulton,6.4,16
Illinois,Gallatin,6.6,17
Illinois,Greene,6.4,15
Illinois,Grundy,5.0,14
Illinois,Hamilton,5.7,15
Illinois,Hancock,5.6,14
Illinois,Hardin,7.3,18
Illinois,Henderson,7.5,14
Illinois,Henry,6.2,14
Illinois,Iroquois,7.7,16
Illinois,Jackson,7.7,19
Illinois,Jasper,5.8,14
Illinois,Jefferson,5.9,17
Illinois,Jersey,5.0,14
Illinois,Jo Daviess,7.1,13
Illinois,Johnson,5.9,16
Illinois,Kane,9.1,16
Illinois,Kankakee,6.7,16
Illinois,Kendall,5.3,13
Illinois,Knox,5.8,18
Illinois,Lake,7.1,14
Illinois,LaSalle,5.9,15
Illinois,Lawrence,6.8,17
Illinois,Lee,5.8,15
Illinois,Livingston,5.7,15
Illinois,Logan,5.3,14
Illinois,McDonough,7.1,17
Illinois,McHenry,6.0,13
Illinois,McLean,5.1,15
Illinois,Macon,5.5,16
Illinois,Macoupin,6.0,14
Illinois,Madison,4.9,15
Illinois,Marion,6.2,17
Illinois,Marshall,5.9,13
Illinois,Mason,6.3,15
Illinois,Massac,6.1,16
Illinois,Menard,5.4,13
Illinois,Mercer,5.3,14
Illinois,Monroe,3.7,12
Illinois,Montgomery,6.0,15
Illinois,Morgan,5.2,16
Illinois,Moultrie,8.0,15
Illinois,Ogle,6.6,15
Illinois,Peoria,6.3,16
Illinois,Perry,5.7,15
Illinois,Piatt,4.7,12
Illinois,Pike,7.1,17
Illinois,Pope,7.5,15
Illinois,Pulaski,7.5,21
Illinois,Putnam,5.8,13
Illinois,Randolph,5.5,16
Illinois,Richland,6.3,17
Illinois,Rock Island,6.7,17
Illinois,St. Clair,6.2,18
Illinois,Saline,7.1,18
Illinois,Sangamon,5.5,16
Illinois,Schuyler,6.8,16
Illinois,Scott,5.0,15
Illinois,Shelby,5.1,15
Illinois,Stark,6.3,15
Illinois,Stephenson,6.3,17
Illinois,Tazewell,4.6,13
Illinois,Union,7.3,17
Illinois,Vermilion,6.5,18
Illinois,Wabash,6.0,15
Illinois,Warren,7.7,16
Illinois,Washington,5.3,14
Illinois,Wayne,6.7,15
Illinois,White,6.1,15
Illinois,Whiteside,6.0,15
Illinois,Will,6.3,15
Illinois,Williamson,5.4,15
Illinois,Winnebago,7.4,18
Illinois,Woodford,4.5,13
Indiana,Adams,11.6,19
Indiana,Allen,9.7,18
Indiana,Bartholomew,9.9,16
Indiana,Benton,11.3,19
Indiana,Blackford,8.6,19
Indiana,Boone,6.7,14
Indiana,Brown,10.5,17
Indiana,Carroll,10.2,18
Indiana,Cass,13.2,20
Indiana,Clark,8.6,20
Indiana,Clay,8.4,19
Indiana,Clinton,11.7,20
Indiana,Crawford,11.5,22
Indiana,Daviess,17.9,19
Indiana,Dearborn,7.3,16
Indiana,Decatur,8.1,17
Indiana,DeKalb,8.3,17
Indiana,Delaware,9.0,21
Indiana,Dubois,8.9,16
Indiana,Elkhart,14.2,20
Indiana,Fayette,9.6,22
Indiana,Floyd,6.9,17
Indiana,Fountain,8.6,18
Indiana,Franklin,8.9,16
Indiana,Fulton,11.4,18
Indiana,Gibson,6.7,17
Indiana,Grant,8.6,23
Indiana,Greene,8.9,18
Indiana,Hamilton,6.1,11
Indiana,Hancock,6.0,15
Indiana,Harrison,8.2,17
Indiana,Hendricks,6.6,15
Indiana,Henry,8.0,21
Indiana,Howard,8.3,18
Indiana,Huntington,7.9,17
Indiana,Jackson,10.0,21
Indiana,Jasper,9.6,17
Indiana,Jay,9.5,20
Indiana,Jefferson,9.1,18
Indiana,Jennings,8.8,21
Indiana,Johnson,7.9,16
Indiana,Knox,8.5,19
Indiana,Kosciusko,11.8,17
Indiana,LaGrange,24.9,17
Indiana,Lake,9.7,21
Indiana,LaPorte,8.8,18
Indiana,Lawrence,8.5,18
Indiana,Madison,9.1,21
Indiana,Marion,11.7,19
Indiana,Marshall,12.8,18
Indiana,Martin,9.4,18
Indiana,Miami,10.0,21
Indiana,Monroe,9.2,17
Indiana,Montgomery,9.8,17
Indiana,Morgan,8.2,18
Indiana,Newton,12.2,20
Indiana,Noble,10.4,17
Indiana,Ohio,7.4,14
Indiana,Orange,10.0,20
Indiana,Owen,11.3,19
Indiana,Parke,11.8,19
Indiana,Perry,8.1,19
Indiana,Pike,9.0,19
Indiana,Porter,7.5,16
Indiana,Posey,6.4,16
Indiana,Pulaski,10.0,18
Indiana,Putnam,8.2,16
Indiana,Randolph,9.6,19
Indiana,Ripley,9.2,18
Indiana,Rush,10.3,19
Indiana,St. Joseph,10.2,19
Indiana,Scott,8.6,19
Indiana,Shelby,8.5,18
Indiana,Spencer,8.5,17
Indiana,Starke,9.8,20
Indiana,Steuben,9.6,16
Indiana,Sullivan,9.4,20
Indiana,Switzerland,11.5,22
Indiana,Tippecanoe,9.9,19
Indiana,Tipton,8.4,17
Indiana,Union,9.2,18
Indiana,Vanderburgh,8.5,19
Indiana,Vermillion,8.1,17
Indiana,Vigo,9.1,20
Indiana,Wabash,9.2,19
Indiana,Warren,7.3,16
Indiana,Warrick,7.2,16
Indiana,Washington,10.5,18
Indiana,Wayne,11.0,20
Indiana,Wells,8.0,18
Indiana,White,11.0,17
Indiana,Whitley,8.6,16
Iowa,Adair,5.5,14
Iowa,Adams,6.2,12
Iowa,Allamakee,7.9,15
Iowa,Appanoose,6.3,16
Iowa,Audubon,6.7,13
Iowa,Benton,5.0,12
Iowa,Black Hawk,5.3,14
Iowa,Boone,4.2,14
Iowa,Bremer,3.9,12
Iowa,Buchanan,5.3,12
Iowa,Buena Vista,11.3,16
Iowa,Butler,5.2,12
Iowa,Calhoun,5.6,15
Iowa,Carroll,4.4,12
Iowa,Cass,6.8,15
Iowa,Cedar,4.3,11
Iowa,Cerro Gordo,4.6,14
Iowa,Cherokee,6.0,14
Iowa,Chickasaw,6.4,14
Iowa,Clarke,6.4,16
Iowa,Clay,5.6,13
Iowa,Clayton,6.2,13
Iowa,Clinton,4.9,14
Iowa,Crawford,10.4,18
Iowa,Dallas,3.9,11
Iowa,Davis,11.3,14
Iowa,Decatur,7.2,16
Iowa,Delaware,6.2,13
Iowa,Des Moines,5.3,15
Iowa,Dickinson,4.8,12
Iowa,Dubuque,4.3,12
Iowa,Emmet,6.8,16
Iowa,Fayette,5.4,14
Iowa,Floyd,6.5,14
Iowa,Franklin,7.6,16
Iowa,Fremont,4.9,13
Iowa,Greene,5.1,14
Iowa,Grundy,3.7,11
Iowa,Guthrie,6.1,13
Iowa,Hamilton,5.7,12
Iowa,Hancock,5.5,13
Iowa,Hardin,5.3,14
Iowa,Harrison,5.4,14
Iowa,Henry,5.5,14
Iowa,Howard,6.3,13
Iowa,Humboldt,5.4,14
Iowa,Ida,4.8,13
Iowa,Iowa,4.4,12
Iowa,Jackson,5.4,13
Iowa,Jasper,4.2,13
Iowa,Jefferson,7.5,14
Iowa,Johnson,5.5,14
Iowa,Jones,5.1,13
Iowa,Keokuk,6.6,12
Iowa,Kossuth,5.0,14
Iowa,Lee,5.1,16
Iowa,Linn,4.2,12
Iowa,Louisa,8.9,15
Iowa,Lucas,5.6,13
Iowa,Lyon,6.3,12
Iowa,Madison,4.8,11
Iowa,Mahaska,5.1,14
Iowa,Marion,4.2,13
Iowa,Marshall,8.1,16
Iowa,Mills,4.4,11
Iowa,Mitchell,7.0,13
Iowa,Monona,6.5,15
Iowa,Monroe,5.8,14
Iowa,Montgomery,6.6,16
Iowa,Muscatine,5.2,15
Iowa,O'Brien,5.6,13
Iowa,Osceola,7.6,14
Iowa,Page,6.2,15
Iowa,Palo Alto,4.7,13
Iowa,Plymouth,5.2,13
Iowa,Pocahontas,5.9,14
Iowa,Polk,5.5,13
Iowa,Pottawattamie,5.6,15
Iowa,Poweshiek,5.5,13
Iowa,Ringgold,7.6,13
Iowa,Sac,6.0,12
Iowa,Scott,5.0,15
Iowa,Shelby,5.2,13
