,date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
202,9/30/2020,California,CA,Madera,6039,"157,327",0.609,4557,0.04557,65,0.00065,"53,632",0.1,0.23,0.846,0.469,0.966,0.57,0.079,0.45
204,9/30/2020,California,CA,Mariposa,6043,"17,203",0.511,76,0.00076,2,2e-05,"51,402",0.08,0.14,0.5920000000000001,0.335,0.643,0.39399999999999996,0.18899999999999997,0.711
206,9/30/2020,California,CA,Merced,6047,"277,680",0.868,8993,0.08993,145,0.00145,"56,169",0.09,0.23,0.9420000000000001,0.628,0.9890000000000001,0.638,0.024,0.884
207,9/30/2020,California,CA,Modoc,6049,"8,841",0.708,26,0.00026,0,0.0,"45,227",0.11,0.16,0.7509999999999999,0.512,0.8009999999999999,0.826,0.218,0.573
210,9/30/2020,California,CA,Napa,6055,"137,744",0.259,1728,0.01728,13,0.00013,"85,624",0.09,0.14,0.23600000000000002,0.14300000000000002,0.9470000000000001,0.6559999999999999,0.11800000000000001,0.259
211,9/30/2020,California,CA,Nevada,6057,"99,755",0.364,543,0.00543,7,7e-05,"66,681",0.07,0.12,0.2,0.182,0.43200000000000005,0.141,0.715,0.561
212,9/30/2020,California,CA,Orange,6059,"3,175,692",0.466,55239,0.55239,1268,0.01268,"89,373",0.08,0.14,0.284,0.032,0.961,0.467,0.5820000000000001,0.42100000000000004
213,9/30/2020,California,CA,Placer,6061,"398,329",0.067,3604,0.03604,48,0.00048,"89,175",0.04,0.11,0.073,0.085,0.741,0.121,0.054000000000000006,0.387
214,9/30/2020,California,CA,Plumas,6063,"18,807",0.38,48,0.00048,0,0.0,"55,079",0.07,0.14,0.242,0.455,0.551,0.61,0.196,0.565
215,9/30/2020,California,CA,Riverside,6065,"2,470,546",0.5589999999999999,59405,0.59405,1226,0.01226,"66,793",0.09,0.17,0.6609999999999999,0.18100000000000002,0.968,0.33,0.111,0.601
224,9/30/2020,California,CA,Santa Barbara,6083,"446,499",0.33899999999999997,9197,0.09197,114,0.00114,"75,646",0.11,0.17,0.439,0.10400000000000001,0.951,0.752,0.046,0.39399999999999996
225,9/30/2020,California,CA,Santa Clara,6085,"1,927,852",0.155,21379,0.21379,323,0.00323,"125,933",0.05,0.12,0.12300000000000001,0.018000000000000002,0.9740000000000001,0.462,0.03,0.386
226,9/30/2020,California,CA,Santa Cruz,6087,"273,213",0.335,2423,0.02423,12,0.00012,"84,213",0.07,0.15,0.32299999999999995,0.067,0.882,0.752,0.034,0.601
227,9/30/2020,California,CA,Shasta,6089,"180,080",0.256,943,0.00943,20,0.0002,"53,908",0.07,0.14,0.507,0.6409999999999999,0.604,0.701,0.16399999999999998,0.15
